TIME	VALOR	VARIÁVEL	ANO	RANKING	Pontos
Internacional	0.42	LIQUIDEZ SECA	2016	7	43
Internacional	1.46	LIQUIDEZ GERAL	2016	7	43
Internacional	1.47	END. FINANCEIRO	2016	7	43
Internacional	0.6	DEP. FINANCEIRA	2016	7	43
Internacional	0.55	COMP. ENDIVIDAMENTO	2016	7	43
Internacional	1.23	ROA	2016	7	43
Internacional	-0.03	ROE	2016	7	43
Figueirense	0.01	LIQUIDEZ IMEDIATA	2015	16	43
Figueirense	0.23	LIQUIDEZ SECA	2015	16	43
Figueirense	0.56	LIQUIDEZ GERAL	2015	16	43
Figueirense	2.27	END. FINANCEIRO	2015	16	43
Figueirense	2.29	DEP. FINANCEIRA	2015	16	43
Figueirense	0.52	COMP. ENDIVIDAMENTO	2015	16	43
Figueirense	2.22	ROA	2015	16	43
Figueirense	-0.03	ROE	2015	16	43
Chapecoense	0.04	LIQUIDEZ IMEDIATA	2014	30	43
Chapecoense	0.62	LIQUIDEZ SECA	2014	30	43
Chapecoense	1.54	LIQUIDEZ GERAL	2014	30	43
Chapecoense	1.84	END. FINANCEIRO	2014	30	43
Chapecoense	0.65	DEP. FINANCEIRA	2014	30	43
Chapecoense	0.82	COMP. ENDIVIDAMENTO	2014	30	43
Chapecoense	10.88	ROA	2014	30	43
Chapecoense	-1.87	ROE	2014	30	43
Sport	0	LIQUIDEZ IMEDIATA	2018	16	42
Sport	0.08	LIQUIDEZ SECA	2018	16	42
Sport	1.11	LIQUIDEZ GERAL	2018	16	42
Sport	9.48	END. FINANCEIRO	2018	16	42
Sport	0.9	DEP. FINANCEIRA	2018	16	42
Sport	0.71	COMP. ENDIVIDAMENTO	2018	16	42
Sport	0.76	ROA	2018	16	42
Sport	-0.7	ROE	2018	16	42
Avaí	0.01	LIQUIDEZ IMEDIATA	2015	23	42
Avaí	0.01	LIQUIDEZ SECA	2015	23	42
Avaí	0.78	LIQUIDEZ GERAL	2015	23	42
Avaí	6.69	END. FINANCEIRO	2015	23	42
Avaí	1.18	DEP. FINANCEIRA	2015	23	42
Avaí	0.29	COMP. ENDIVIDAMENTO	2015	23	42
Avaí	0.74	ROA	2015	23	42
Avaí	-1.2	ROE	2015	23	42
Vasco da Gama	0.01	LIQUIDEZ IMEDIATA	2015	11	41
Vasco da Gama	0.17	LIQUIDEZ SECA	2015	11	41
Vasco da Gama	0.48	LIQUIDEZ GERAL	2015	11	41
Vasco da Gama	1.93	END. FINANCEIRO	2015	11	41
Vasco da Gama	2.08	DEP. FINANCEIRA	2015	11	41
Vasco da Gama	0.38	COMP. ENDIVIDAMENTO	2015	11	41
Vasco da Gama	1.96	ROA	2015	11	41
Vasco da Gama	-0.4	ROE	2015	11	41
América Mineiro	0.12	LIQUIDEZ IMEDIATA	2018	19	40
América Mineiro	0.11	LIQUIDEZ SECA	2018	19	40
América Mineiro	2.51	LIQUIDEZ GERAL	2018	19	40
América Mineiro	0.66	END. FINANCEIRO	2018	19	40
América Mineiro	0.4	DEP. FINANCEIRA	2018	19	40
América Mineiro	0.4	COMP. ENDIVIDAMENTO	2018	19	40
América Mineiro	0	ROA	2018	19	40
América Mineiro	0	ROE	2018	19	40
Palmeiras	0.04	LIQUIDEZ IMEDIATA	2014	13	40
Palmeiras	0.21	LIQUIDEZ SECA	2014	13	40
Palmeiras	0.66	LIQUIDEZ GERAL	2014	13	40
Palmeiras	2.91	END. FINANCEIRO	2014	13	40
Palmeiras	1.52	DEP. FINANCEIRA	2014	13	40
Palmeiras	0.38	COMP. ENDIVIDAMENTO	2014	13	40
Palmeiras	2.99	ROA	2014	13	40
Palmeiras	-0.22	ROE	2014	13	40
Ponte Preta	0.13	LIQUIDEZ IMEDIATA	2017	16	39
Ponte Preta	0.01	LIQUIDEZ SECA	2017	16	39
Ponte Preta	1.61	LIQUIDEZ GERAL	2017	16	39
Ponte Preta	1.64	END. FINANCEIRO	2017	16	39
Ponte Preta	0.62	DEP. FINANCEIRA	2017	16	39
Ponte Preta	0.11	COMP. ENDIVIDAMENTO	2017	16	39
Ponte Preta	0.85	ROA	2017	16	39
Ponte Preta	-0.06	ROE	2017	16	39
Goiás	0.01	LIQUIDEZ IMEDIATA	2015	15	38
Goiás	0.61	LIQUIDEZ SECA	2015	15	38
Goiás	1	LIQUIDEZ GERAL	2015	15	38
Goiás	1.34	END. FINANCEIRO	2015	15	38
Goiás	1	DEP. FINANCEIRA	2015	15	38
Goiás	0.05	COMP. ENDIVIDAMENTO	2015	15	38
Goiás	0.18	ROA	2015	15	38
Goiás	0	ROE	2015	15	38
Vitória	0.04	LIQUIDEZ IMEDIATA	2014	17	38
Vitória	0.05	LIQUIDEZ SECA	2014	17	38
Vitória	1.27	LIQUIDEZ GERAL	2014	17	38
Vitória	3.66	END. FINANCEIRO	2014	17	38
Vitória	0.79	DEP. FINANCEIRA	2014	17	38
Vitória	0.71	COMP. ENDIVIDAMENTO	2014	17	38
Vitória	2.1	ROA	2014	17	38
Vitória	0	ROE	2014	17	38
Vitória	0	LIQUIDEZ IMEDIATA	2018	17	37
Vitória	0.06	LIQUIDEZ SECA	2018	17	37
Vitória	0.77	LIQUIDEZ GERAL	2018	17	37
Vitória	4.31	END. FINANCEIRO	2018	17	37
Vitória	1.3	DEP. FINANCEIRA	2018	17	37
Vitória	0.33	COMP. ENDIVIDAMENTO	2018	17	37
Vitória	2.93	ROA	2018	17	37
Vitória	-0.56	ROE	2018	17	37
Figueirense	0.01	LIQUIDEZ IMEDIATA	2016	16	37
Figueirense	0.27	LIQUIDEZ SECA	2016	16	37
Figueirense	0.58	LIQUIDEZ GERAL	2016	16	37
Figueirense	2.49	END. FINANCEIRO	2016	16	37
Figueirense	1.73	DEP. FINANCEIRA	2016	16	37
Figueirense	0.5	COMP. ENDIVIDAMENTO	2016	16	37
Figueirense	0.93	ROA	2016	16	37
Figueirense	-0.09	ROE	2016	16	37
Bahia	NA	LIQUIDEZ IMEDIATA	2014	16	37
Bahia	NA	LIQUIDEZ SECA	2014	16	37
Bahia	NA	LIQUIDEZ GERAL	2014	16	37
Bahia	0	END. FINANCEIRO	2014	16	37
Bahia	0	DEP. FINANCEIRA	2014	16	37
Bahia	0	COMP. ENDIVIDAMENTO	2014	16	37
Bahia	0	ROA	2014	16	37
Bahia	0	ROE	2014	16	37
Atlético Goianiense	0	LIQUIDEZ IMEDIATA	2017	20	36
Atlético Goianiense	0.43	LIQUIDEZ SECA	2017	20	36
Atlético Goianiense	0.72	LIQUIDEZ GERAL	2017	20	36
Atlético Goianiense	3.56	END. FINANCEIRO	2017	20	36
Atlético Goianiense	1.39	DEP. FINANCEIRA	2017	20	36
Atlético Goianiense	0.27	COMP. ENDIVIDAMENTO	2017	20	36
Atlético Goianiense	1.9	ROA	2017	20	36
Atlético Goianiense	0.5	ROE	2017	20	36
Botafogo	0	LIQUIDEZ IMEDIATA	2014	11	34
Botafogo	0.03	LIQUIDEZ SECA	2014	11	34
Botafogo	0.76	LIQUIDEZ GERAL	2014	11	34
Botafogo	1.14	END. FINANCEIRO	2014	11	34
Botafogo	8.03	DEP. FINANCEIRA	2014	11	34
Botafogo	0.74	COMP. ENDIVIDAMENTO	2014	11	34
Botafogo	0.18	ROA	2014	11	34
Botafogo	0.22	ROE	2014	11	34
Criciúma	4.2	LIQUIDEZ IMEDIATA	2014	25	32
Criciúma	0.57	LIQUIDEZ SECA	2014	25	32
Criciúma	2.65	LIQUIDEZ GERAL	2014	25	32
Criciúma	0.61	END. FINANCEIRO	2014	25	32
Criciúma	0.38	DEP. FINANCEIRA	2014	25	32
Criciúma	0.55	COMP. ENDIVIDAMENTO	2014	25	32
Criciúma	0.03	ROA	2014	25	32
Criciúma	0.02	ROE	2014	25	32
América Mineiro	0.37	LIQUIDEZ IMEDIATA	2016	22	28
América Mineiro	0.37	LIQUIDEZ SECA	2016	22	28
América Mineiro	2.93	LIQUIDEZ GERAL	2016	22	28
América Mineiro	0.52	END. FINANCEIRO	2016	22	28
América Mineiro	0.34	DEP. FINANCEIRA	2016	22	28
América Mineiro	0.05	COMP. ENDIVIDAMENTO	2016	22	28
América Mineiro	0.31	ROA	2016	22	28
América Mineiro	-0.07	ROE	2016	22	28
