id	campaign_id	link	clicks	qnt_clicks	recipients	percent_clicks
3	5	http://www.instagram.com/_u/gurudocartola	4532,15496,16388,15499,16184,15603,4980,2033,7282,1801,1202,6048,15991,16388,16184,15499,4372,341,15670,6253,6253,765,15365,2682,3149,17209,3769,3769,5530	29	11080	0.0026173285198556
4	5	http://www.facebook.com/gurucartola	15496,15496,15496,15496,2542,16112,15634,16097,16097,15634,16112,16074,282,15991,16074,15634,16097,16112,1555,6546,2419,3769,3769,5530	24	11080	0.00216606498194946
5	6	http://www.instagram.com/_u/gurudocartola	14556,10870,9906,10768,11037,13029,10843,13064,12928,11418,9999,14837,15256,14230,14927,14927,12170,11089	18	6040	0.00298013245033113
6	6	http://www.facebook.com/gurucartola	14556,11480,11623,13251,9842,13479,14680,12184,14996,15141,14190,14190,14190,14230	14	6040	0.00231788079470199
9	9	http://www.instagram.com/_u/gurudocartola	664,664,7233,7233,7233,7233,7233,15634,15424,955,15919,16310,16819,5892,5892,5892,5892,5892,5892,15830	20	10730	0.00186393289841566
10	9	http://www.facebook.com/gurucartola	664,16397,7233,7233,7233,7233,7233,16112,16151,16388,15499,16112,16151,8883,5892,5892,5892,5892,5892,5892	20	10730	0.00186393289841566
11	10	http://www.instagram.com/_u/gurudocartola	14330,10527,13440,9906,13479,12184,9842,9842,9906,13479,9419,11623,12928,12928,10170,14908,9906,12928,9419,13479,12184,11623,9842,15256	24	5629	0.0042636347486232
12	10	http://www.facebook.com/gurucartola	13957,13957,14680,11418,11480,9296,9573,14680,11480,9296,13957,11418	12	5629	0.0021318173743116
15	13	http://www.instagram.com/_u/gurudocartola	7259,15488,6317,16478,8330,6980,15927,1130,5892,5892,5892,5892,5892,5892,8158,15510,184,114,114,1081,4896,16611	22	10914	0.00201575957485798
16	13	http://www.facebook.com/gurucartola	15785,6317,8330,6980,6980,1130,5892,5892,5892,5892,5892,5892,8158,6005,7645,1081	16	10914	0.00146600696353308
17	14	http://www.instagram.com/_u/gurudocartola	11089,14695,14996,14481,13957,12928,12928,14481,13957,14996,14680,14680,13894,13957,12928,14481,14680,13064,11623,11538,14667,10064,10033,9844	24	5620	0.00427046263345196
18	14	http://www.facebook.com/gurucartola	11418,9296,9419,14695,14996,14996,13029,13479,11037,13029,13479,10870,14226	13	5620	0.00231316725978648
19	15	https://youtu.be/4Acvmt-2efA	17575,17866,17999,17749,1,17736,17897,17873,17974,17775,17775,17916,17791,17602,18043,17700,17598,18004,17625,17842,17892,17895,17989,17737,17826,17871,18040,17648,2,17885,17836,17747,17747,17747	34	485	0.0701030927835052
20	15	https://youtu.be/gL6yJo5s8ZE	17979,17979,17979,17897,17974,17775,17916,17916,18043,17598,18043,17791,17750,17892,17989,17885,17952,17710,17747,17612,17612	21	485	0.0432989690721649
21	15	http://www.instagram.com/_u/gurudocartola	17982	1	485	0.00206185567010309
22	15	http://www.facebook.com/gurucartola	NA	0	485	0
25	17	http://www.instagram.com/_u/gurudocartola	17957,17883	2	468	0.00427350427350427
26	17	http://www.facebook.com/gurucartola	17957,17918	2	468	0.00427350427350427
31	21	http://www.instagram.com/_u/gurudocartola	2542,8975,16955,6783,419,6200,6200,1333,6239,2998	10	11252	0.000888730892285816
32	21	http://www.facebook.com/gurucartola	15603,8111,16155,7112,1701,17957,16216,3118,8933,2422,17220,4858,1333,15565,1701	15	11252	0.00133309633842872
35	23	http://www.instagram.com/_u/gurudocartola	9977,9977,9419,13479,11037,13479,11037,13251,13251,10843,11623,14680,14680,12967,9977,9419,13251,13479,11037,10843,11623,12830,12825	23	5613	0.00409763050062355
36	23	http://www.facebook.com/gurucartola	13064,9906,13064,9906,9842,12928,12928,10870,14481,12928	10	5613	0.00178157847853198
39	25	http://www.instagram.com/_u/gurudocartola	NA	0	366	0
40	25	http://www.facebook.com/gurucartola	18376	1	366	0.00273224043715847
41	26	http://www.instagram.com/_u/gurudocartola	5989,17957,17945,15603,6157,15299,15785,15615,18266	9	11439	0.000786782061369001
42	26	http://www.facebook.com/gurucartola	4754,18376,8021,8111,17464,1933	6	11439	0.000524521374246001
48	29	http://www.instagram.com/_u/gurudocartola	7091,17426,15573,6034,18039,8158,16068,17836,7700,15424,5530	11	11423	0.000962969447605708
49	29	http://www.facebook.com/gurucartola	7816,3080,18039,8158,4364,8111,15424,18376,3199,309,8782,5530	12	11423	0.00105051212466077
50	30	http://www.instagram.com/_u/gurudocartola	12774,14054	2	5609	0.000356569798538064
51	30	http://www.facebook.com/gurucartola	14621,14621,14621	3	5609	0.000534854697807096
52	32	http://www.instagram.com/_u/gurudocartola	2833,2122,912,17013,214,10168,12037,1333,14330,16151,15634,16074,16097,14680,14680,16097,2469,10847,15603,14695,2173,14254,2088,10251,16097,14680,409,409,409,2972,13331,14008	32	16975	0.00188512518409426
53	32	http://www.facebook.com/gurucartola	3118,2122,3579,14432,13957,16184,16112,16388,18081,14481,18081,14481,6436,15110,14695,16388,14481,18081,7225,14698,9052,2972,12967	23	16975	0.00135493372606775
54	34	http://www.instagram.com/_u/gurudocartola	9419,11418,11037,13029,13029,16388,17737,15634,12928,13064,13064,16331,2071,13029,11418,11037,13064,15634,14481,16388,12928,17737,16015,16912,6157,17813	26	17201	0.00151154002674263
55	34	http://www.facebook.com/gurucartola	7542,10870,10843,13251,11480,12184,12016,12016,12989,16112,16151,18081,13957,13251,12184,12016,11480,14680,16074,18081,16112	21	17201	0.00122085925236905
58	36	http://www.instagram.com/_u/gurudocartola	21027,20959	2	297	0.00673400673400673
59	36	http://www.facebook.com/gurucartola	21147	1	297	0.00336700336700337
62	38	http://www.instagram.com/_u/gurudocartola	9906,9296,9906,9296,11480,16074,15499,16074,15499,17876,114,11480,9906,9296,16912,3794	16	17171	0.000931803622386582
63	38	http://www.facebook.com/gurucartola	9977,14680,9977,14481,10843,11623,13957,16112,16112,5651,11623,10843,9977,14680,12928,14481,13957,19194	18	17171	0.0010482790751849
70	42	http://www.instagram.com/_u/gurudocartola	126982,127739,128707,128291,125705,123492,128448,136960,137281,136513,141727,137281,144335,144423,145454,142324,125705,123492,127731,145381,128789,122235,122235,122235,117412,135851,142478,118817,123249,137665,142752,142140,134506,130259,128387,141084,134177,122963,133844,140106,140106,140106,140106,129077,129077	45	30669	0.00146727966350386
71	42	http://www.facebook.com/gurucartola	126229,129761,125665,128291,127805,115951,128707,123911,124657,128707,137784,136513,143506,135611,124657,123911,135934,134663,127144,117155,144429,144130,117496,145755,137581,123417,123417,143991,142752,134506,123126,140047,140106,140106,140106,140106,117111	37	30669	0.00120642994554762
74	44	http://www.instagram.com/_u/gurudocartola	146688,146688,146688,146688,146688,146688,146688,146219,145931,146704,146704	11	788	0.0139593908629442
75	44	http://www.facebook.com/gurucartola	146688,146688	2	788	0.00253807106598985
